species,lon,lat
cereus albicaulis,-42.3015,-10.0012
cereus albicaulis,-41.316667,-11.466667
cereus albicaulis,-42,-9.55
cereus albicaulis,-41.288889,-11.650556
cereus albicaulis,-41.288889,-11.650556
cereus albicaulis,-37.246944,-8.548333
cereus albicaulis,-39.695833,-9.210556
cereus albicaulis,-42.1,-9.483333
cereus albicaulis,-37.252778,-8.534722
cereus albicaulis,-37.216667,-8.566667
cereus albicaulis,-41.596667,-13.143056
cereus albicaulis,-42.525,-14.574722
cereus albicaulis,-38.891222,-7.539167
cereus albicaulis,-43.379722,-12.24
cereus albicaulis,-37.245,-8.586667
cereus albicaulis,-37.252778,-8.534722
cereus albicaulis,-39.856667,-12.755
cereus albicaulis,-38.983333,-9.933333
cereus albicaulis,-41.316667,-11.466667
cereus albicaulis,-37.234444,-8.589167
cereus albicaulis,-37.245,-8.586667
cereus albicaulis,-37.252778,-8.534722
cereus albicaulis,-37.234444,-8.589167
cereus albicaulis,-37.246944,-8.548333
cereus albicaulis,-42.920417,-14.546306
cereus albicaulis,-40.116667,-6.65
cereus albicaulis,-39.470333,-7.464167
cereus albicaulis,-37.252778,-8.534722
cereus albicaulis,-41.234444,-11.385278
cereus albicaulis,-41.046111,-11.425833
cereus albicaulis,-38.3975,-10.256111
cereus albicaulis,-38.983333,-9.933333
cereus albicaulis,-41.234444,-11.385278
cereus albicaulis,-40.187778,-8.163611
cereus albicaulis,-43.4275,-9.046389
cereus albicaulis,-39.695833,-9.210556
cereus albicaulis,-42.715556,-8.450556
cereus albicaulis,-43.4275,-9.046389
cereus albicaulis,-42.516667,-14.716667
cereus albicaulis,-37.246944,-8.548333
cereus albicaulis,-37.246944,-8.548333
