"cv_0","pa","lon","lat","wc2.1_10m_bio_10","wc2.1_10m_bio_15","wc2.1_10m_bio_16","wc2.1_10m_bio_18","wc2.1_10m_bio_19","wc2.1_10m_bio_2","wc2.1_10m_bio_3"
2,1,-42.3015,-10.0012,26.9026679992676,94.3999099731445,356,199,2,13.4094371795654,77.402702331543
3,1,-41.316667,-11.466667,21.1846237182617,59.4501724243164,287,254,69,10.1781044006348,71.9872970581055
1,1,-42,-9.55,27.5882091522217,93.8500823974609,335,208,2,12.508957862854,76.4793167114258
3,1,-41.288889,-11.650556,20.9343338012695,48.8267211914062,295,269,106,10.2120628356934,71.5731887817383
1,1,-37.246944,-8.548333,22.9113750457764,55.4363059997559,328,123,212,9.55502128601074,69.7090606689453
2,1,-39.695833,-9.210556,25.621166229248,88.3551788330078,262,236,18,11.8288125991821,72.3143005371094
3,1,-42.1,-9.483333,27.3786659240723,93.2057037353516,329,200,3,13.3112916946411,77.4632873535156
2,1,-41.596667,-13.143056,20.7571659088135,59.5213050842285,411,364,87,12.1294784545898,73.0570449829102
1,1,-42.525,-14.574722,22.5994167327881,96.069091796875,498,410,8,11.2289581298828,70.6857223510742
3,1,-38.891222,-7.539167,25.9082508087158,98.2788772583008,525,230,41,10.326021194458,70.6729278564453
1,1,-43.379722,-12.24,26.226749420166,90.0975494384766,461,233,13,13.5503959655762,72.4513549804688
2,1,-39.856667,-12.755,24.4515838623047,58.3474578857422,221,214,54,8.3057918548584,67.2996978759766
2,1,-38.983333,-9.933333,25.4545001983643,58.6357116699219,209,167,72,11.1437492370605,69.8240814208984
1,1,-42.920417,-14.546306,23.935791015625,97.5975723266602,462,381,4,11.5368747711182,70.665657043457
2,1,-40.116667,-6.65,26.4023742675781,105.611724853516,417,62,83,10.2930002212524,75.3858871459961
3,1,-39.470333,-7.464167,22.8932914733887,86.6677169799805,571,237,88,10.2263336181641,71.6958236694336
3,1,-41.046111,-11.425833,21.7938747406006,48.2151908874512,275,244,103,10.3783540725708,71.8337020874023
2,1,-38.3975,-10.256111,24.4264583587646,39.1081657409668,254,180,218,10.0153541564941,67.91796875
2,1,-40.187778,-8.163611,25.9302921295166,93.3463668823242,337,194,22,11.8140001296997,75.3179702758789
3,1,-43.4275,-9.046389,25.3428745269775,88.0020599365234,404,172,14,12.9484367370605,76.4144973754883
1,1,-42.715556,-8.450556,27.0795421600342,88.3846969604492,390,144,10,13.4126453399658,77.6217269897461
1,1,-42.516667,-14.716667,22.2922916412354,97.2646179199219,521,430,6,11.1690216064453,70.949333190918
1,0,-42.249999999746,-4.91666666608723,28.3611660003662,99.1216735839844,842,72,160,11.5977087020874,71.7247314453125
3,0,-35.916666666362,-7.91666666611276,24.6653747558594,66.2142639160156,293,159,242,9.3049373626709,69.81103515625
2,0,-42.083333333078,-5.91666666609574,28.3556671142578,90.7153854370117,718,137,112,11.4245204925537,72.3139495849609
1,0,-36.583333333034,-9.08333333278936,23.1182918548584,59.9831123352051,512,157,441,8.4924373626709,67.5611572265625
3,0,-40.24999999973,-3.91666666607872,27.2122497558594,116.935363769531,556,24,172,11.1004791259766,81.3222045898438
1,0,-44.41666666643,-6.74999999943617,26.8421249389648,78.0072631835938,588,232,69,11.3112916946411,68.9712905883789
3,0,-45.416666666438,-10.249999999466,25.2055416107178,87.2649612426758,546,264,4,14.2229785919189,68.7831497192383
2,0,-46.416666666446,-7.41666666610851,26.2075004577637,75.6906433105469,602,150,602,12.3490409851074,70.1749801635742
2,0,-38.083333333046,-5.91666666609574,27.6185836791992,110.193786621094,534,95,87,10.2076253890991,77.5891265869141
2,0,-40.916666666402,-3.74999999941064,24.50341796875,109.51309967041,830,61,787,11.3907289505005,80.2785873413086
1,0,-37.083333333038,-6.4166666661,27.9761238098145,112.026054382324,512,97,63,9.58543682098389,76.1232376098633
2,0,-41.08333333307,-5.2499999994234,25.2585411071777,109.97386932373,597,76,112,10.846791267395,76.210090637207
3,0,-42.916666666418,-9.7499999994617,26.8508739471436,91.3253936767578,345,129,2,13.9388961791992,77.3362655639648
1,0,-38.416666666382,-7.91666666611276,25.4775009155273,89.2373199462891,446,186,65,10.3014373779297,67.9738540649414
3,0,-44.41666666643,-9.7499999994617,26.2190837860107,86.38623046875,495,224,23,13.3843336105347,70.6194686889648
3,0,-44.41666666643,-17.0833333328574,23.1287078857422,89.5723190307617,643,464,18,12.8607711791992,68.5880355834961
1,0,-44.083333333094,-6.4166666661,26.947208404541,81.3168487548828,670,203,89,10.9564161300659,68.4327011108398
2,0,-46.416666666446,-13.7499999994957,25.5297508239746,84.7378082275391,688,378,28,11.1279382705688,70.0641403198242
3,0,-39.249999999722,-16.0833333328489,25.6997909545898,18.5225067138672,389,298,328,7.68608331680298,63.6924285888672
1,0,-36.91666666637,-10.0833333327979,27.0301246643066,61.8470268249512,371,136,300,9.06747913360596,65.9465026855469
2,0,-41.749999999742,-13.7499999994957,24.1100845336914,87.7413711547852,349,316,15,11.7685832977295,71.5078506469727
3,0,-38.916666666386,-10.7499999994702,25.6985836029053,41.0891799926758,210,159,144,11.2580413818359,71.0476989746094
2,0,-38.916666666386,-4.08333333274681,25.4581241607666,97.2990646362305,655,134,140,8.33429145812988,75.2803955078125
1,0,-38.749999999718,-10.416666666134,24.1019592285156,37.6523666381836,240,167,201,10.6289377212524,69.1976852416992
2,0,-46.583333333114,-8.91666666612127,25.4592914581299,80.6640167236328,627,163,35,12.6754159927368,69.3897018432617
3,0,-36.08333333303,-7.58333333277659,24.6650428771973,76.0259170532227,232,148,136,8.90620803833008,70.7628173828125
3,0,-36.416666666366,-8.24999999944893,22.0364990234375,65.3022613525391,351,146,211,8.85818672180176,69.9367446899414
2,0,-39.41666666639,-7.91666666611276,25.6237907409668,96.9953842163086,392,186,31,10.4923334121704,69.8743591308594
1,0,-37.249999999706,-8.08333333278085,24.3584995269775,88.6725921630859,374,107,81,9.8596248626709,71.0091781616211
1,0,-40.749999999734,-12.9166666661553,23.9394989013672,58.2064476013184,324,295,78,10.3093748092651,73.0707855224609
